title,addr,areacode,sigungucode,contentid,mapx,mapy,is_outdoor,tag
한섬 CK 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2915343,126.6965244,37.76940615,0,4
한섬 CK 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2904093,126.7852461,37.59728888,0,4
한섬 DKNY 롯데동부산,부산 기장군 기장읍 기장해안로 147,6,3,2925559,129.212808,35.19225217,0,4
한섬 DKNY 롯데이천,경기 이천시 호법면 프리미엄아울렛로 177-74(롯데프리미엄아울렛),31,26,2905500,127.4000447,37.24227722,0,4
한섬 DKNY 롯데파주,경기 파주시 회동길 390,31,27,2911938,126.6937761,37.71787321,0,4
한섬 DKNY 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2913990,129.2349941,35.32385172,0,4
한섬 DKNY 신세계여주,"경기 여주시 명품로 360(상거동, 여주프리미엄아울렛)",31,20,2930967,127.6123672,37.24137841,0,4
한섬 DKNY 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2914894,126.6965244,37.76940615,0,4
한섬 DKNY 현대가든파이브,서울 송파구 충민로 66,1,18,2931818,127.1249769,37.4776672,0,4
한섬 DKNY 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2931631,126.7852461,37.59728888,0,4
한섬 DKNY 현대송도,인천 연수구 송도국제대로 123(송도동) 현대프리미엄아울렛 송도,2,8,2913396,126.6579998,37.38280322,0,4
한섬 SJSJ 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2931566,129.2349941,35.32385172,0,4
한섬 SJSJ 신세계여주,경기 여주시 명품로 360,31,20,2931657,127.61232,37.2416506,0,4
한섬 SJSJ 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2912332,126.6965244,37.76940615,0,4
한섬 SJSJ 현대가산,서울 금천구 디지털로10길 9,1,8,2931365,126.8890706,37.4776713,0,4
한섬 SJSJ 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2907710,126.7852461,37.59728888,0,4
한섬 SJSJ 현대동대문,서울 중구 장충단로13길 20,1,24,2912476,127.0076822,37.56878784,0,4
한섬 SJSJ 현대송도,"인천 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 송도점)",2,8,2914196,126.6579998,37.38280322,0,4
한섬 더캐시미어 현대가든파이브,"서울 송파구 충민로 66(문정동, 가든파이브)",1,18,2910433,127.1249769,37.4776672,0,4
한섬 랑방 신세계여주,경기 여주시 명품로 360,31,20,2909256,127.61232,37.2416506,0,4
한섬 랑방 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2910635,126.7852461,37.59728888,0,4
한섬 랑방컬렉션 신세계여주,경기 여주시 명품로 360,31,20,2915241,127.61232,37.2416506,0,4
한섬 랑방컬렉션 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2922538,126.6965244,37.76940615,0,4
한섬 랑방컬렉션 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2908230,126.7852461,37.59728888,0,4
한섬 랑방컬렉션 현대송도,"인천 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 송도점)",2,8,2923946,126.6579998,37.38280322,0,4
한섬 래트바이티 현대가든파이브,서울 송파구 충민로 66,1,18,2928855,127.1249769,37.4776672,0,4
한섬 래트바이티 현대동대문,서울 중구 장충단로13길 20,1,24,2903489,127.0076822,37.56878784,0,4
한섬 래트바이티 현대송도,인천 연수구 송도국제대로 123,2,8,2930985,126.6579998,37.38280322,0,4
한섬 루즈앤라운지 롯데광명,경기 광명시 일직로 17(일직동),31,4,2925010,126.8839476,37.42324698,0,4
한섬 루즈앤라운지 롯데이천,경기 이천시 호법면 프리미엄아울렛로 177-74(롯데프리미엄아울렛),31,26,2910558,127.4000447,37.24227722,0,4
한섬 루즈앤라운지 롯데파주,경기 파주시 회동길 390,31,27,2931675,126.6937761,37.71787321,0,4
한섬 마인 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2923878,129.2349941,35.32385172,0,4
한섬 마인 신세계여주,경기 여주시 명품로 360,31,20,2923732,127.61232,37.2416506,0,4
한섬 마인 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2924561,126.6965244,37.76940615,0,4
한섬 마인 현대가든파이브,"서울 송파구 충민로 66(문정동, 가든파이브)",1,18,2909852,127.1249769,37.4776672,0,4
한섬 마인 현대가산,서울 금천구 디지털로10길 9,1,8,2928893,126.8890706,37.4776713,0,4
한섬 마인 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2913876,126.7852461,37.59728888,0,4
한섬 마인 현대동대문,서울 중구 장충단로13길 20,1,24,2907179,127.0076822,37.56878784,0,4
한섬 마인 현대송도,"인천 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 송도점)",2,8,2930980,126.6579998,37.38280322,0,4
한섬 무이 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2911653,126.7852461,37.59728888,0,4
한섬 무이 현대송도,"인천 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 송도점)",2,8,2911384,126.6579998,37.38280322,0,4
한섬 발리 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2931788,126.7852461,37.59728888,0,4
한섬 발리 현대송도,"인천 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 송도점)",2,8,2918420,126.6579998,37.38280322,0,4
한섬 시스템 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2915295,129.2349941,35.32385172,0,4
한섬 시스템 신세계여주,경기 여주시 명품로 360,31,20,2912572,127.6123672,37.24137841,0,4
한섬 시스템 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2903775,126.6965244,37.76940615,0,4
한섬 시스템 현대가든파이브,"서울 송파구 충민로 66(문정동, 가든파이브)",1,18,2915621,127.1249769,37.4776672,0,4
한섬 시스템 현대가산,서울 금천구 디지털로10길 9,1,8,2930626,126.8890706,37.4776713,0,4
한섬 시스템 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2928865,126.7852461,37.59728888,0,4
한섬 시스템 현대동대문,서울 중구 장충단로13길 20,1,24,2918345,127.0076822,37.56878784,0,4
한섬 시스템 현대송도,"인천 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 송도점)",2,8,2912380,126.6579998,37.38280322,0,4
한섬 시스템옴므 신세계여주,경기 여주시 명품로 360,31,20,2911623,127.61232,37.2416506,0,4
한섬 시스템옴므 현대가든파이브,"서울 송파구 충민로 66(문정동, 가든파이브)",1,18,2925496,127.1249769,37.4776672,0,4
한섬 시스템옴므 현대가산,서울 금천구 디지털로10길 9,1,8,2914263,126.8890706,37.4776713,0,4
한섬 시스템옴므 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2924178,126.7852461,37.59728888,0,4
한섬 시스템옴므 현대동대문,서울 중구 장충단로13길 20,1,24,2909476,127.0076822,37.56878784,0,4
한섬 시스템옴므 현대송도,"인천 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 송도점)",2,8,2907414,126.6579998,37.38280322,0,4
한섬 오브제 롯데동부산,부산 기장군 기장읍 기장해안로 147,6,3,2905913,129.212808,35.19225217,0,4
한섬 오브제 롯데서울역,서울 용산구 한강대로 405,1,21,2931720,126.971747,37.55489159,0,4
한섬 오브제 롯데파주,경기 파주시 회동길 390 B동 1층,31,27,2923122,126.6937761,37.71787321,0,4
한섬 오브제 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2931859,129.2349941,35.32385172,0,4
한섬 오브제 신세계여주,경기 여주시 명품로 360,31,20,2924424,127.61232,37.2416506,0,4
한섬 오브제 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2910790,126.6965244,37.76940615,0,4
한섬 오브제 현대가든파이브,서울 송파구 충민로 66,1,18,2925570,127.1249769,37.4776672,0,4
한섬 오브제 현대가산,서울 금천구 디지털로10길 9,1,8,2904589,126.8890706,37.4776713,0,4
한섬 오브제 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2925787,126.7852461,37.59728888,0,4
한섬 오브제 현대동대문,서울 중구 장충단로13길 20,1,24,2931869,127.0076822,37.56878784,0,4
한섬 오브제 현대송도,인천 연수구 송도국제대로 123,2,8,2925545,126.6579998,37.38280322,0,4
한섬 오즈세컨 롯데김해,경남 김해시 장유로 469,36,4,2905810,128.8296221,35.18510146,0,4
